scanner,image,hits,misses,detection_hit_ratio,tp_labels,fp_labels,tp_detected,fp_detected,fn_missed,unlabeled_predicted,predicted_total
snyk,docker.io+anchore+test_images@sha256_1a5a5f870924e88a6f0f2b8089cf276ef0a79b5244a052cdfe4a47bb9e5a2c10,0,0,0.0,0,249,0,0,0,0,0
snyk,docker.io+anchore+test_images@sha256_347fba6fbfa15d4e11217f9d49bf70a5a6eef35c6c642dc8c5db89115912d0c1,0,3,0.0,3,0,0,0,3,287,287
snyk,docker.io+anchore+test_images@sha256_55c9ba4e24e15c0467a071d93fead0990b8f04bb60b359b4056a997598aa56a1,6,0,1.0,6,12,6,0,0,1,7
snyk,docker.io+anchore+test_images@sha256_5763c8a225f950961bf01ddec68e36f18e236130e182f2b9290a6e03b9777bfe,17,4,0.8095238095238095,21,22,17,12,4,15,32
snyk,docker.io+anchore+test_images@sha256_58637f273108e3e9eb4df4d73f7b6b1da303cbbf64f65e65fb7762482f2de63d,3,31,0.08823529411764706,34,15,3,0,31,0,3
snyk,docker.io+anchore+test_images@sha256_6749b1509fc4dd3f2b4e8688325fc5d447751bc9ae3be10c0f1fb92ec062b798,3,0,1.0,3,11,3,0,0,3,6
snyk,docker.io+anchore+test_images@sha256_746d31247006cc06434ce91ccf3523b2c230ff6c378ffed7ca1c60bbb48ea86f,557,12,0.9789103690685413,569,8,557,0,12,290,847
snyk,docker.io+anchore+test_images@sha256_7536ee345532f674ec9e448e3768db4e546c48220ba2b6ec9bc9cfbfb3b7b74a,0,14,0.0,14,15,0,0,14,0,0
snyk,docker.io+anchore+test_images@sha256_808f6cf3cf4473eb39ff9bb47ead639d2ed71255b75b9b140162b58c6102bcc9,99,36,0.7333333333333333,135,96,99,3,36,502,601
snyk,docker.io+anchore+test_images@sha256_92f1981518e92bf3712ff95cf342f7f4d5fc83fb93a30a36d7d1204e64342199,0,4,0.0,4,0,0,0,4,0,0
